Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,4,28,1,800,705,1007,920,WN,829,N651SW,127,135,103,47,55,JAX,PHL,742,7,17,0,,0,0,0,47,0,0
2008,1,11,5,1947,1950,2032,2040,WN,60,N652SW,45,50,29,-8,-3,CRP,HOU,187,8,8,0,,0,NA,NA,NA,NA,NA
2008,4,1,2,1515,1340,1735,1443,OH,5409,N917CA,140,63,46,172,95,BGR,BOS,201,12,82,0,,0,0,95,77,0,0
2008,3,31,1,1615,1615,1730,1737,YV,2829,N926LR,75,82,56,-7,0,LGB,PHX,355,9,10,0,,0,NA,NA,NA,NA,NA
2008,3,2,7,1930,1933,2020,2028,NW,896,N8938E,50,55,28,-8,-3,DTW,CMH,155,5,17,0,,0,NA,NA,NA,NA,NA
2008,4,10,4,59,2216,239,2320,NW,439,N352NW,100,64,50,199,163,MSP,OMA,282,7,43,0,,0,0,0,36,0,163
2008,4,18,5,1600,1605,1733,1738,YV,2880,N17231,93,93,67,-5,-5,BUR,PHX,369,17,9,0,,0,NA,NA,NA,NA,NA
2008,2,10,7,1615,1555,1849,1830,AS,478,N306AS,154,155,125,19,20,SEA,PSP,987,5,24,0,,0,19,0,0,0,0
2008,4,8,2,2140,2131,2230,2214,YV,2833,N935LR,50,43,24,16,9,PHX,TUS,110,5,21,0,,0,16,0,0,0,0
2008,4,13,7,2045,2040,2302,2305,DL,934,N664DN,137,145,95,-3,5,ATL,LGA,761,14,28,0,,0,NA,NA,NA,NA,NA
2008,3,22,6,851,855,1654,1715,AA,226,N5BSAA,303,320,287,-21,-4,SAN,BOS,2588,3,13,0,,0,NA,NA,NA,NA,NA
